cod_autor|nome_completo
1|Rodriguez Arias, Alfonso
2|Simões, Celso Cardoso da Silva
3|Amorim, Clóvis
4|Anástacia, Carla Maria Junho
5|Holanda, Heloisa Buarque
6|Cavalcante, Cristina
7|Banas, Geraldo
8|Barbosa, Geraldo Menezes
9|Barreto, Edmundo Muniz
10|Baracho, Maria Amarante Pastor
11|Battistoni Filho, Duilio
12|Beck, Anamaria
13|Bento, Claudio Moreira
14|Campos, Ubirajara de
15|Cardoso, João Luiz
16|Carvalho, Alberto Marques de
17|Carybé, Pseud
18|Castro, M. Viana de
19|Cherobim, Mauro
20|Childe, Alberto
22|Cooney, James P.
23|Couto, Goiás do
24|Decca, Edgar Salvadori de
25|Dias, Mary Grace
27|Duarte, Rafhael
28|Dutra, Eliana Regina de Freitas
29|Falcão, Edgard de Cerqueira
30|Faraco, Sérgio
31|Fico, Carlos
32|Polito, Ronald
33|Figueiredo, Nice Menezes de
34|Freitas, Eliane Martins de
35|Freyre, Fernando de Mello
36|Galliza, Diana Soares De
37|Gante, Pedro de
38|Gomes, Angela Maria de Castro
39|Gonçalves, Antônio Carolino
40|Graziano, Eduardo
41|Graziano Neto, Francisco
42|Incisa, Luigi Beccaria
43|Cabral, Francisco Pinto
44|Joffily, José
45|Andrade, Ana Isabel de Souza Leão
46|Labarre, Albert
47|Petit, Gerard
48|Lima, José Malaquias Cavalcante
49|Lima, Ruy Cirne
50|Ladim, José Roberto Medina
51|Monteiro, Manoel Antônio De Almeida
52|Sousa, Argemiro Oliveira
53|Lazari, Joana Sueli de
54|Losano, Mario
55|Manoel, Ivan Aparecido
58|Mattos, Anibal
61|Nunes, Lélia Pereira da Silva
62|Moura, Carlos Eugenio Marcondes de
63|Muinhos, Marcelo Kfoury
64|Oliveira, Francisco de Paula de
65|Oribe, Aquiles B.
66|Palha, Américo
67|Palha, Luís
68|Paz, Francisco Moraes
69|Pitella, Monica Cardoso
70|Povoas, Lenine de Campos
71|Querino, Manoel Raymundo
72|Rabuske, Arthur, S. J.
73|Lopes, Miguel Vicente
74|Ramos, Victor de Carvalho
75|Regis, Isabel
76|Ribeiro, Renê
78|Rodrigues, Geraldo Pinto
80|Rudeval, Frederic de
81|Ruiz, Noracy
82|Sá, Hernane Tavares de
83|Saffioti, Heleieth
84|Ferrante, Vera Lúcia Silveira Botta
86|Santos, Helio Jorge dos
88|Schwab, Affonso
89|Freire, Mário Aristides
90|Segenreich, Stella Cecília Duarte
92|Sicsu, Abraham Benzaquen
93|Silva, Nilton Pedro
94|Silva, Geraldo Eulálio do Nascimento e
95|Silva, Luciano Pereira da
96|Siqueira, Moema Miranda
97|Souza, Eusébio
98|Souza, Jonas Soares de
100|Targino, Maria das Graças
101|Taunay, Jorge d' Escragnolle
102|Telles, Manoel dos Passos Oliveira
103|Venancio Filho, Francisco
105|Whitaker, Dulce C.A.
106|Vernalha, Milton Miró
107|Wolff, Egon
108|Wolff, Frieda
109|Tavares Neto, José
110|PARÁ. Constituição
111|Félix, Sueli Andruccioli
112|Azulay, Fortunato
113|Mello, Oswaldo Bandeira de
114|Puentes, Samuel
115|Rose, Arnold Marshal
116|Behring, Francisco
117|SERGIPE. Constituição
119|Fonseca, Olympio Oliveira Ribeiro da
120|INSTITUTO DA ORDEM DOS ADVOGADOS BRASILEIROS (Rio de Janeiro, RJ)
121|PARANÁ. Constituição
122|Moraes, Eugênio Vilhena de
123|Arteaga, Melida
124|Barbosa, Waldemar de Almeida
125|Carbanza, Araceli
126|Jimenez Lopez, Xonia
127|Castillo Lopez, Victor
128|Catalan B., Gonzalo
129|Jorquera, Bernardo
130|D. Domingos, Manuela
131|Lopez, Ines
132|Oliveira, A. Braz de
133|Delgado, Alexandre Miranda
134|Garcia Ejargue, Luís
135|Javier Solis, Francisco
136|Kallsen, Margarita
137|Mathias, Herculano Gomes
138|Munoz Sola, Haidee
139|Osorio Romero, Ignacio
140|Llanes Arenas, Lorena
142|Padro Montezuma, Gladys
143|Tamayo Herrera, Jose
144|Rodriguez Torres, Alvaro
145|Tapajós, Vicente
146|Valdez, Diogenes
147|Carvalho, Gilberto Vilar de
148|Wehrs, Carlos
149|Wilfredo Maldonado, Carlos
150|Bandecchi, Pedro Brasil
151|Oliveira, Alberto Araújo de
152|Souza, Bernardino José de
153|Pordeus, Teresinha de Jesus Ramalho
154|Fonseca, Edson Nery da
155|MATO GROSSO. Constituição
156|Acevedo, Hugo
157|Rios, Elfrida Engel
159|Trindade, Raymundo Octávio da, Cônego
160|Rodrigues, José Honório
161|Mesquita, Elpidio de
162|EQUADOR. Constituição
163|GUATEMALA. Constituição
164|Leite, Serafim, Padre
165|Moura, Gentil de Assis
166|Torre Revello, José
167|Vieira, Cila Milano
168|Lasso De La Vega, Javier
169|Maia, Álvaro
170|Leão, Ermelino Agostinho de
171|Prado, João Fernando de Almeida
172|Duarte, Manuel
174|Coelho, Leonel
175|Gomes, O. Martins
176|Autuori, Luís
177|Carvalho, Luís Antônio da Costa
178|Bevilaqua, Clóvis
179|Auler, Guilherme
180|Valladão, Alfredo de Vilhena
182|Lima Sobrinho, Alexandre José Barbosa
183|Leite, Solidonio Attico
184|Silva, Henrique
185|Ribeiro, Raymundo Francisco
186|Martins, Joel
187|Amorim, Rone
188|Costa, Afonso
189|Mangabeira, Otávio
190|Vilhena, Manoel Maria Paiva de
191|Parada, Antônio Alvarez
192|Laxe, João Batista Cortines
193|Duarte, Rafael de Andrade
194|Neves, Lourenço Baeta
195|Oliveira, João Gualberto de
196|Xavier, Rafael da Silva
197|Albuquerque, Júlio Prestes de
198|PIAUÍ. Constituição
201|Hassler, Emilio
203|Agier, Michel
204|Almeida, Elpídio de
207|Andrade, Manoel Onofre de
208|Andrews, George Reid
209|Araújo, Zilda Galhardo de
210|Baggio, Sheila Brandão
211|Barcelos, Luís Cláudio
212|Batista, Marta Aimee
213|Galvão, Olívia Maria Rodrigues
214|Bianco, Mabel
215|Bohmer, Karl Hermann
216|Coloma Gonzales, Fidel
217|Solano Mirilo, Rosario
218|Bomeny, Regina Helena Diniz
219|Bordem, Henry
221|Brancato, Sandra M.L
222|Caberlon, Vera Isabel
223|Cabre I Castellvi, M. Teresa
224|Cabrera P., Ileana
225|Lazor, Rosa Maria
227|Carvalho, Isabel Cristina Louzada
228|Perota, Maria Luiza Loures
229|Carvalho, Maria Carmen Romcy de
230|Chahad, José Paulo Zeetano
231|Coelho Netto, Paulo
232|Crespo Toral, Herman
234|Delgado, Lucilia de Almeida Neves
235|Le Ven, Michel Marie
236|Egas, Eugenio
237|Ellis, Myriam
239|Faria, Sheila Siqueira de Castro
240|Ferreira, Athos Damasceno
241|Ferreira, Marieta de Moraes
242|Fleury, Renato Sêneca de Sá
243|Franca, Jussara Marilda
244|Freyre, Gilberto
245|Fritsch, Winston
247|Macedo, Werter
248|Galvão, Olympio
249|Gardner, Mary A.
250|Gentil, Alcides
251|Brasil, Gérson
252|Gomes, Angela de Castro
255|Campos, Maria Luiza de Almeida
256|Grossi, Ivone de Souza
258|Marchiori, Patricia Zeni
259|Hackenberg, Ana Mirthes
260|Hochman, Gilberto
262|Jorge, Luiz Alberto
263|Lacombe, Américo Lourenço Jacobina
264|Lamounier, Bolivar
266|Leite, Walter Rinaldi
267|Adriano, Maria Regina
268|Leonzo, Nanci
270|Lopes, Roseane R. Velho
271|Lovell, Peggy A.
272|Machado, Paulo Coelho
273|Matos, Odilon Nogueira de
274|Medeiros, Laudelino Teixeira de
275|Medeiros, Marisa B.
276|Medrano, Lilia Ines Zanotti de
277|Mello, Marcus André B. C.
278|Moura, Alexandrina Sobeira
279|Moutinho, Mário Canova
280|Naro, Nancy Priscila B.
281|Neves, Herculano
282|Petrsen, Silvia Regina Ferraz
283|Lucas, Maria Elizabeth
284|Pimentel, Clea Dubeaux Pinto
285|Neves, Fernanda Ivo
286|Pinheiro, Ana Virgínia Teixeira da Paz
287|Planchart, Alfredo
288|Rocha, Luís Paulo Corrêa da
289|Peixoto, Adriana Luna; et al
290|Ramos, Alcida Rita
291|Rathunde, Norma
292|Rech, Hildemar Luiz
293|Reis, Liana Maria
294|Reis, Paulo Pereira dos
295|Resende, Maria Efigênia Lage de
296|Ricci, Maria Lúcia de Souza Rangel
298|Romero, Sílvio Vasconcellos da Silveira Ramos
299|Rosa, Juliana Vianna
300|Sansone, Lívio
302|Sant'ana, Moacir Medeiros de
303|Santos, Antônio Noronha
304|Scalon, Maria Celi Ramos da Cruz
305|Schmalz, Alfredo Carlos
306|Segatto, José Antônio
307|Silva, Denise Ferreira da
308|Lima, Márcia
310|SANTA CATARINA. Governador
311|Cerqueira, Anselmo Alves
313|Paiva, Tancredo de Barros
314|Paim, Antônio
315|Braudel, Fernando
316|Brandão, Eduardo
317|Gordilho, Osvaldo Velloso
318|Miranda, Victorino Coutinho Chermont de
319|Rossato, José Carlos
321|Cavalcante, Berenice
322|Jatobá, Paulo
323|Moura, Jair Pinto de
324|Vianna, Hildegardes
325|Vieira, José
326|Bresolin, Luciano
327|Gookin, Dan
328|Costa, Cláudio José da
329|Tomas, Maria Isabel
330|Urdaneta, Iraset Paez
331|Chalita, Gabriel
332|Valente, Nelson
333|Verez De Peraza, Elena Luisa
334|Zarur, Dahas
335|Zavala, Sílvio Arturo
336|Vargas, Milton
337|Hardman, Francisco Foot
339|Ribeiro, Renato Janine
340|Rouanet, Sérgio Paulo
342|Villalta, Luiz Carlos
343|Subirats, Eduardo
344|Pécora, Alcir
346|Pessanha, José Américo Motta
347|Malamoud, Charles
348|Schilling, Claúdia
350|Lefort, Claude
352|Novaes, Adauto
353|Garcia, Marco Aurélio
354|Bardo-paschanski, Catherine
355|Loraux, Nicole
356|Bosi, Alfredo
357|Nunes, Benedito
358|Lopes, José Leite
359|Bignotto, Newton
360|Abensour, Miguel
361|Contier, Arnaldo D.
362|Vallenas, Sandra
363|Varine-bohan, Hugles de
364|Machado, Humberto Fernandes
365|Sa, Mário de Vasconcelos e
366|Gomes, Antônio Luís
367|Costa, Ricardo Luís Silveira da
368|Matos, Ana Maria Inocêncio
369|Andrade, Ana Maria Ribeiro de
370|Mattos, Maria Silva C. de
371|Puntschak, William
372|Mendonça, Sônia Regina de
373|Mcevedy, Colin
374|Florenzano, Everton
375|Lewin, Helena
376|Florentino, Manolo Garcia
377|Ferreira, Jorge Luís
378|Caetano, Lucinda Oliveira
379|Frorenzano, Everton
380|Jardim Junior, David
381|Valladares, Clarival do Prado
382|Pereira, Epitácio Cafeteira Afonso
383|Gomes, Flávio dos Santos
384|Prado, Maria Emília
385|Adonias, Isa
386|Furrer, Bruno
387|Souza, Rosangela Cristina Occhi S. de
388|Narancio, Edmundo M.
389|Tavares, Maria José Pimenta Ferro
390|Abad Peres, Antolin
391|Gunther Doering, Juan
392|Lohnann Villena, Guilermo
393|Gutman, Margarita
394|Hardoy, Jorge Enrique
395|Martinez De Codes, Rosa Maria
396|Busquets Grau, Joan
397|Navarro Garcia, Luís
398|Armas, Antonio Rumeu de
399|Troconis De Veracoechea, Ermila
400|Puyo Vasco, Fabio
401|Santos Hernandez, Angel
403|Malo De Molina, Teresa
404|Jimenez, Miguel
405|Collantes De Teran, Antonio
406|Bernal, Antonio Miguel
407|Trillo, Manoel
408|Garcia Baquero, Antonio
409|Siles Salinas, Jorge
410|Elia, Silvio
411|Albuquerque, Luis de
412|Puente Candamo, Jose A. de la
413|Torre, Ernesto De La
414|Jocelyn-holt Letelier, Alfredo
415|Gomez Hoyos, Rafael
416|Gonzalez, Marta
417|Oscar Acevedo, Edberto
418|Rubert, Arlindo
419|Moreno Ruiz, Jose Luis
421|Merlino, Mario
423|Luque Alcaide, Elisa
424|Ramon, Armando de
425|Salvador Lara, Jorge
427|Araujo, Paulo Henrique
428|Iglesias, Francisco
429|Silva, Rosendo Chas
430|Macedo, Deoclécio Leite de
431|Tourinho, Luís Carlos Pereira
434|A. Foronda Jr., Marcelino
436|Alvim, Marília Carvalho de Mello e
438|Arantes, Arnaldo
439|Avni, Haim
440|Beinart, Haim
441|Bittencourt, Anna Ribeiro de Goes
443|Bonmati Anton, Jose Fermin
444|Burke, Robert B.
445|Adeloye, Sam
446|Campos, Sieni Maria
447|Carvalho, José Maurício de
448|Coelho, Eduardo José de Jesus
449|Setti, João Bosco
451|Garquia Baquero, Antonio
452|Domingues Ortis, Antonio
453|Epalza, Mikel de
454|Lopes Garcia, Bernabe
455|Garcia Arenal, Mercedes
456|Angel De Bunes, Miguel
457|Gomes Hoyos, Rafael
458|Gonzales, Marta
459|Guimarães, Benício
460|Gutierrez Alvarez, Secundino Jose
462|Parvaux, Solange
463|Mourroz, Jean Revel
466|Meledez, Carlos
467|Oscar, João
469|Lezcano, Victor Morales
471|Queiroz, Suely Robles Reis de
472|Ruiz, José Luís Moreno
473|Santos, Sílvio dos
475|Siqueira, Maria Isabel de
476|Lemos, Maria Teresa Toríbio Brittes
477|Anderson, Kyrill
478|Arboleda, Luiz Carlos
479|ARCHIVO NACIONAL (Ecuador)
480|Arias, Victoria
481|ARQUIVO DO ESTADO DE SÃO PAULO
482|ARQUIVO GERAL DA CIDADE DO RIO DE JANEIRO
483|Loureiro, Elizabeth Cristina Marques de
484|Gama, André
485|Paiva, Glycon de
486|Roepke, Wilhelm
487|Costa, A. C
488|Perestrello, Danilo
489|Silva, A. C. Pacheco e
490|Setzer, José
491|Ravines, Eudócio
492|Castelo Branco, Humberto de Alencar
493|Burtns, E. Bradford
494|Ribeiro, C. J. de Assis
495|Vieira, João Pedro Gouvea
496|Carneiro, Gauco M.
497|Lima, Henrique de Campos Ferreira
498|Kowalewski, Konrad Aleksander
499|M., WIEGERINCK. J. A.
501|Carneiro, Levi
502|Simonsen, Mário Henrique
503|Vasconcelos, Vasco Joaquim Smith de
504|Silva, José Ferreira da
505|Silva, José Bonifácio de Andrada e
506|Souza, Álvaro Tavares de
507|Guimarães, Archimedes Pereira
508|Correia, Jonas de Morais
509|Costa, Abel Fontoura da
510|Pedreira, Pedro Tomás
511|Coelho, Lucinda Coutinho de Mello
512|Araripe, Antônio de Alencar
513|Pinto, Francisco de Carvalho
514|Silva, José Calasans Brandão da
515|Damante, Hélio
517|Costa, José Hermogenes Soares
518|Amaral, Álvaro do
519|Barros, Eudes
521|Silva, Leonardo Dantas
522|Nunes, Odilon
523|Lavaner-wanderlei, Nelsos Freire
524|Leite, Luis-Philippe Pereira
525|Carvalho, Erasto Miranda de
526|Campos, Luciano Salgado
527|Castro, Orlando Guerreiro de
528|Pedra-ferro, J.
529|Belém, Cursino
530|Aguiar, Cardoso de
531|Barbosa, Mário Ferreira
532|ARQUIVO NACIONAL (Portugal)
533|Pinheiro, Mário Portugal Fernandes
534|Carmo, José Arimatéia Pinto do
536|Melo, Mário Carneiro do Rego
537|PERNAMBUCO. Assembléia Legislativa
538|Cruz, Mário
539|Coelho, Antônio Alves
540|Almeida, José Américo de
542|Lima, Raul do Rego
543|Flexor, Maria Helena Ochi
544|Soares, Torquato de Sousa
545|Rodrigues, Walfredo
546|Hanson, Carl A.
547|Konder, Marcos
548|Carneiro, J. Magalhães
549|Camargo, Christovão Torres de
550|Cavalcante, Rodolfo Coelho
551|CRUZADA BRASILEIRA ANTI-COMUNISTA
552|Zamudio, Z. José
553|Boxer, Charles Ralph
554|Freehafer, Virgínia
556|Taborda, Tarcísio Antônio da Costa
557|Silveira, Enzo da
558|Barreto, Luíz Antônio
559|Docca, Emílio Fernandes de Souza
560|Aguiar, Manoel Pinto de
561|Cerqueira, Paulo Pedreira de
562|Mendonça, Marcos Carneiro de
563|Norton, Manuel Artur
564|Leão Filho, Joaquim de Sousa
565|Saraiva, Carlota Abrantes
566|Viotti, Dario Abranches
567|Motta, Joel da
568|Rodrigues, J.  Washt
569|Machado, Octavio Ariani
571|Massa, Pedro
572|Azevedo, Maria Antonieta Soares de
573|Carvalho, Plínio de
574|Laet, Carlos de
575|Souza, Heitor de
576|Franco, Francisco de Assis Carvalho
577|Silva, José Luiz Werneck da
578|Costa Filho, Miguel
579|Mattol, José
580|Assis, José Ribeiro de
581|Fonseca, Arnold Medeiros da
582|Villela, Álvaro Machado
583|Azevedo, Castro
584|Seckinger, Ron Leroy
585|Pinto, Manoel de Sousa
586|Aragão, Maria de Lourdes Calmon Vianna de
587|França, Mário Ferreira
588|Souza, Thomas Oscar Marcondes de
589|Fraga, Clementino
590|IRMANDADE DO SANTÍSSIMO SACRAMENTO DA CANDELÁRIA
591|Fragoso, Augusto Tasso
593|Graça, Mário Quartin
594|Rosa, José Maria
595|Onody, M. Oliver
596|Costa, Othon
597|Barros, Geraldo Mendes
598|Picolo, Helga Iracema Langraf
599|Homem De Mello, Francisco Ignacio Marcondes Homem de Mello, Barão
600|Jaeger, Luís Gonzaga
601|Ellis Junior, Alfredo
602|Azevedo Filho, José Bueno de Oliveira
603|Lamego, Alberto Ribeiro
604|Robbe, J. Alberto J.
605|Laytano, Dante de
606|Valença Júnior, J. V.
607|Pinto, Edmundo da Luz
608|Rezende, Oswaldo
610|Rocha, Carlos Eduardo da
611|Palha, Vicente Rodrigues
612|Neis, P. Rubem
613|Agostinho, Pedro
614|Boschi, Caio Cesar
616|Fonseca, Fernando L.
617|Mello Junior, Donato
618|Hunsche, Carlos Henrique
619|Oliveira, Waldir Freitas
620|Menezes, Roberval  Francisco Bezerra de
621|Menezes, Paulo Braga de
622|Derby, Orville Adelbert
623|Silva, Antônio Carlos Simõens da
624|Beisso, Serana Garat
625|Barros, Dalmiro da Mota Buys de
626|Dias, Antônio Caetano
627|Freire, Felisberto Firmo de Oliveira
628|Elias, Maria José
629|Werneck, Américo
630|Hogan, Daniel Joseph
631|Senna, Nelson Coelho de
632|Colaferri, Armando
633|Foot, Nelson
634|CONSELHO ESTADUAL DE CULTURA DE SANTA CATARINA
635|INSTITUTO HISTÓRICO E GEOGRÁFICO BRASILEIRO
636|Vittorino, Regni
637|Flores, Maria Bernardete Ramos
638|Kortchmar, Nair Klinger
639|Colombina, Francisco Tosi
640|Freitas, Leopoldo de
641|Soares, José Carlos de Macedo
642|Doria, Escragnolle
643|Azzi, Riolando
644|Camargo, Ana Maria de Almeida
645|CENTRO CÍVICO BENEFICENTE SADOCK DE SÁ (RJ)
646|Barbosa, Marcos de Araújo
647|Lefort, José do Patrocínio
648|Athayde, J. B. de
649|Neiva, Venâncio Figueiredo
650|Souza, Amélia Maria de
651|Mendes, Alípio
652|Dias, José dos Anjos
653|Villaça, Flávio
654|Costa Filho, Odylo
655|Burns, E. Bradford
656|Lacerda, Manoel
657|SOCIEDADE JOSÉ DE ALENCAR (CEARÁ)
658|Schubert, Guilherme
659|Pitanga, Antônio Ferreira de Souza
660|Santos, João Brígido dos
662|Goes, Carlos
